title,title_normalized,description,release_date,total_duration,songs_count,cover_image_url,spotify_url,artist_id
I GOT YOU (Voyage ver.),i got you (voyage ver.),Live responsibility boy child artist significant.,2024-02-06,00:29:23,10,https://i.scdn.co/image/ab67616d0000b273d112b7516a0a23058a819764,https://open.spotify.com/album/5cnrcbdcdt6BJgAig9Tn3P,3
THE REMIXES,the remixes,Party situation successful day lead thing avoid.,2023-11-22,00:21:24,7,https://i.scdn.co/image/ab67616d0000b27385567802f7f91610875b2669,https://open.spotify.com/album/37WsLE5Eny9CTmF9CPzWIq,3
READY TO BE,ready to be,Chair civil smile.,2023-03-10,00:20:24,7,https://i.scdn.co/image/ab67616d0000b27359f57a5ca507a3d3fed81ea6,https://open.spotify.com/album/7hzP5i7StxYG4StECA0rrJ,3
BETWEEN 1&2,between 1&2,Special nation billion but million fine war.,2022-08-26,00:22:10,7,https://i.scdn.co/image/ab67616d0000b273c3040848e6ef0e132c5c8340,https://open.spotify.com/album/3NZ94nQbqimcu2i71qhc4f,3
Celebrate,celebrate,Pull left tough hear. Might fine rise cost.,2022-07-27,00:30:18,9,https://i.scdn.co/image/ab67616d0000b27396f409e230a8f42400c901f1,https://open.spotify.com/album/1nqz3cEjuvCMo8RHLBI9kM,3
Formula of Love: O+T=<3,formula of love: o+t=<3,Thus medical general indicate.,2021-11-12,00:32:16,10,https://i.scdn.co/image/ab67616d0000b273d1961ecb307c9e05ec8f7e82,https://open.spotify.com/album/5052Ip89wdW8EGdpjEpNeq,3
Perfect World,perfect world,Allow reduce lay media senior media write.,2021-07-28,00:37:02,10,https://i.scdn.co/image/ab67616d0000b273579e945923463492cb43a5ce,https://open.spotify.com/album/17rk8h2IU4wwSFXw9j2uR6,3
Eyes Wide Open,eyes wide open,Produce cold attorney who serve mouth site.,2020-10-26,00:32:19,10,https://i.scdn.co/image/ab67616d0000b2736570fd05bcff5edcb16e617d,https://open.spotify.com/album/33jypnU7WULxPaVrjj4RXH,3
MORE & MORE,more & more,Over less girl personal minute mean raise.,2020-06-01,00:22:19,7,https://i.scdn.co/image/ab67616d0000b27324869424ae632466b839a8a8,https://open.spotify.com/album/5KsduuDNWzt65TaHzmtciv,3
&TWICE (Repackage),&twice (repackage),Operation reflect spend. Let scientist big grow.,2020-02-05,00:34:05,10,https://i.scdn.co/image/ab67616d0000b27329e7568dbd16f270b3d96db4,https://open.spotify.com/album/64Tvx7Ca3BjA4STHq1wFap,3
Lo Vas A Olvidar (with ROSALÍA),lo vas a olvidar (with rosalia),Dream mention buy way each.,2021-01-21,00:03:23,1,https://i.scdn.co/image/ab67616d0000b273a5fe409478aefa2527076489,https://open.spotify.com/album/3ZuV4xSFJnWDncgMICfFmX,4
Proof,proof,None personal visit ok short success.,2022-06-10,00:38:11,10,https://i.scdn.co/image/ab67616d0000b27317db30ce3f081d6818a8ad49,https://open.spotify.com/album/6al2VdKbb6FIz9d7lU7WRB,7
BE,be,Culture push determine coach their.,2020-11-20,00:28:30,8,https://i.scdn.co/image/ab67616d0000b273c07d5d2fdc02ae252fcd07e5,https://open.spotify.com/album/6nYfHQnvkvOTNHnOhDT3sr,7
MAP OF THE SOUL : 7,map of the soul : 7,Piece reality material much decade.,2020-02-21,00:36:33,10,https://i.scdn.co/image/ab67616d0000b273505190077497c230422f2934,https://open.spotify.com/album/5W1XY5ucNATjTULERvXx9j,7
MAP OF THE SOUL : PERSONA,map of the soul : persona,Late hotel tough modern assume mouth over.,2019-04-12,00:26:02,7,https://i.scdn.co/image/ab67616d0000b27318d0ed4f969b376893f9a38f,https://open.spotify.com/album/2KqlAl1Kl5fZvbFgJ0qFB6,7
Love Yourself 結 'Answer',love yourself  'answer',Heart hot institution peace prepare never.,2018-08-24,00:38:06,10,https://i.scdn.co/image/ab67616d0000b2733825e6d4d02e4b4c0cec7e1d,https://open.spotify.com/album/43wFM1HquliY3iwKWzPN4y,7
Love Yourself 轉 'Tear',love yourself  'tear',Trade sport PM apply hundred there.,2018-05-18,00:39:13,10,https://i.scdn.co/image/ab67616d0000b2738fbcf6544ff02a8959a81781,https://open.spotify.com/album/4NIqCxqP9o8Tp6tGLBqd8O,7
Love Yourself 承 'Her',love yourself  'her',Two leave draw notice third.,2017-09-18,00:30:42,9,https://i.scdn.co/image/ab67616d0000b273829305487c8f3b96a1d955b3,https://open.spotify.com/album/07Rq17GzCnIdWJcyVHb57G,7
You Never Walk Alone,you never walk alone,Move item computer safe property seek.,2017-02-13,00:35:04,10,https://i.scdn.co/image/ab67616d0000b2731fd0a8fc28b2a0a5d9cdc6c6,https://open.spotify.com/album/6THpewjqJ15ORBJkh5CEYb,7
COWBOY CARTER,cowboy carter,Agent manager oil order traditional they.,2024-03-29,00:27:38,10,https://i.scdn.co/image/ab67616d0000b2731572698fff8a1db257a53599,https://open.spotify.com/album/6BzxX6zkDsYKFJ04ziU5xQ,8
RENAISSANCE,renaissance,Blood common get partner in prepare after.,2022-07-29,00:38:25,10,https://i.scdn.co/image/ab67616d0000b2730e58a0f8308c1ad403d105e7,https://open.spotify.com/album/6FJxoadUE4JNVwWHghBwnb,8
The Lion King: The Gift,the lion king: the gift,Bar outside tree budget for its home.,2019-07-19,00:16:32,10,https://i.scdn.co/image/ab67616d0000b2734ccc03169b086af698178a99,https://open.spotify.com/album/552zi1M53PQAX5OH4FIdTx,8
HOMECOMING: THE LIVE ALBUM,homecoming: the live album,Price spend discover call.,2019-04-17,00:26:52,10,https://i.scdn.co/image/ab67616d0000b2738e525253c87c568cd84e491b,https://open.spotify.com/album/35S1JCj5paIfElT2GODl6x,8
Lemonade,lemonade,Usually account ability if.,2016-04-23,00:37:00,10,https://i.scdn.co/image/ab67616d0000b27389992f4d7d4ab94937bf9e23,https://open.spotify.com/album/7dK54iZuOxXFarGhXwEXfF,8
BEYONCÉ [Platinum Edition],beyonce [platinum edition],Without field travel take voice matter.,2014-11-24,00:49:38,10,https://i.scdn.co/image/ab67616d0000b2730d1d6e9325275f104f8e33f3,https://open.spotify.com/album/2UJwKSBUz6rtW4QLK74kQu,8
4,4,Especially woman four.,2011-06-24,00:42:14,10,https://i.scdn.co/image/ab67616d0000b273ff5429125128b43572dbdccd,https://open.spotify.com/album/1gIC63gC3B7o7FfpPACZQJ,8
I Am...World Tour,i am...world tour,Pretty night kid turn power whose.,2010-11-26,00:34:26,10,https://i.scdn.co/image/ab67616d0000b27336bc260ada14991aae54fd39,https://open.spotify.com/album/5O7PYNgE3VLWrvB80fIaDZ,8
I AM...SASHA FIERCE,i am...sasha fierce,Hotel respond serve admit real.,2008-11-14,00:39:29,10,https://i.scdn.co/image/ab67616d0000b273e13de7b8662b085b0885ffef,https://open.spotify.com/album/23Y5wdyP5byMFktZf8AcWU,8
The Beyonce Experience Live Audio,the beyonce experience live audio,About factor tree challenge debate off.,2007-11-19,00:57:56,10,https://i.scdn.co/image/ab67616d0000b2736e2a79e50b23f1409a449eea,https://open.spotify.com/album/46BXsx30qaCaAyyGtWyx7e,8
x (10th Anniversary Edition),x (10th anniversary edition),Time type car sister.,2024-06-21,00:40:34,10,https://i.scdn.co/image/ab67616d0000b273eeef5eff0ccede9a1c9c30b4,https://open.spotify.com/album/1upLfaShcnjVjey0FdY7aO,11
Autumn Variations (Fan Living Room Sessions),autumn variations (fan living room sessions),Early somebody office upon yet.,2023-10-02,00:34:25,10,https://i.scdn.co/image/ab67616d0000b273b89a4c6fd745bd3751938201,https://open.spotify.com/album/5bLE2kmkZWlzAYeb6To6LA,11
Autumn Variations,autumn variations,Agency a identify interesting reveal space.,2023-09-29,00:34:25,10,https://i.scdn.co/image/ab67616d0000b273f6549a3f99e338b94d7ddc08,https://open.spotify.com/album/5LXOgcszGvUkYzYL4v6wYg,11
- (Deluxe),- (deluxe),Senior them onto report either reality.,2023-05-05,00:36:11,10,https://i.scdn.co/image/ab67616d0000b273a0aea3805ed6a87aa394c796,https://open.spotify.com/album/2WFFcvzM0CgLaSq4MSkyZk,11
= (Tour Edition),= (tour edition),Safe single significant white.,2022-05-27,00:33:53,10,https://i.scdn.co/image/ab67616d0000b2734fde7fa3d1ccfab7c41a96ff,https://open.spotify.com/album/5PGxLbdxJa0nds8PefyTBf,11
=,=,Father relate item.,2021-10-25,00:33:53,10,https://i.scdn.co/image/ab67616d0000b273ef24c3fdbf856340d55cfeb2,https://open.spotify.com/album/32iAEBstCjauDhyKpGjTuq,11
2step (The Remixes),2step (the remixes),Speech least push trip stay.,2021-10-25,00:26:48,10,https://i.scdn.co/image/ab67616d0000b27320384043656216cb372f9739,https://open.spotify.com/album/0a28QsFN8zbrWSvbSQ40PI,11
No.6 Collaborations Project,no.6 collaborations project,Writer bed break human population.,2019-07-12,00:32:58,10,https://i.scdn.co/image/ab67616d0000b27373304ce0653c7758dd94b259,https://open.spotify.com/album/3oIFxDIo2fwuk4lwCmFZCx,11
÷ (Deluxe), (deluxe),Order ability option enjoy.,2017-03-03,00:37:57,10,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,https://open.spotify.com/album/3T4tUhGYeRNVUGevb0wThu,11
x (Wembley Edition),x (wembley edition),Model student try well.,2015-11-13,00:40:34,10,https://i.scdn.co/image/ab67616d0000b273407981084d79d283e24d428e,https://open.spotify.com/album/0MeOIA0wwSa6nW79jy8QcZ,11
Section.80,section.80,Fly cell good everything region.,2011-07-02,00:32:33,10,https://i.scdn.co/image/ab67616d0000b273eddb2639b74ac6c202032ebe,https://open.spotify.com/album/1bkN9nIkkCnXeG4yitVS1J,13
Overly Dedicated,overly dedicated,Suddenly result catch three save.,2010-09-14,00:44:17,10,https://i.scdn.co/image/ab67616d0000b2739b035b031d9f0a6a75ae464e,https://open.spotify.com/album/7MoLQ8vckhwBbQqEYQTYQC,13
Scarlet 2 CLAUDE,scarlet 2 claude,New realize a lot water everything card.,2024-05-17,00:30:48,10,https://i.scdn.co/image/ab67616d0000b273cf5685eced152b546f7833ce,https://open.spotify.com/album/5ho4S2bnJJdF0uwT8YiQsw,15
Scarlet,scarlet,Heart particularly ok.,2023-09-22,00:31:38,10,https://i.scdn.co/image/ab67616d0000b27394203dd82d27b494c777d07c,https://open.spotify.com/album/6DmPNcfpkXBVRJsEIJY9tl,15
Planet Her (Deluxe),planet her (deluxe),Such then because education field.,2021-06-27,00:31:26,10,https://i.scdn.co/image/ab67616d0000b2733b017bad9fa5f880745c59cc,https://open.spotify.com/album/4XLPYMERZZaBzkJg0mkdvO,15
Planet Her,planet her,Be officer note subject know day.,2021-06-25,00:31:26,10,https://i.scdn.co/image/ab67616d0000b273be841ba4bc24340152e3a79a,https://open.spotify.com/album/1nAQbHeOWTfQzbOoFrvndW,15
Hot Pink,hot pink,Much rate election government along TV.,2019-11-07,00:33:04,10,https://i.scdn.co/image/ab67616d0000b273f14aa81116510d3a6df8432b,https://open.spotify.com/album/1MmVkhiwTH0BkNOU3nw5d3,15
Amala (Deluxe Version),amala (deluxe version),Join wish term learn.,2019-03-01,00:34:27,10,https://i.scdn.co/image/ab67616d0000b273e0c9d69f356c8b8a378a4d3c,https://open.spotify.com/album/3wOMqxNHgkga91RBC7BaZU,15
Amala,amala,Final her set lawyer.,2018-03-30,00:34:27,10,https://i.scdn.co/image/ab67616d0000b2730f4f19f09818756f25916e45,https://open.spotify.com/album/54tInqO543zy0Y5F2VsUQI,15
MASC (feat. Teezo Touchdown),masc (feat. teezo touchdown),Population control born coach green wait than.,2024-04-03,00:03:25,1,https://i.scdn.co/image/ab67616d0000b273d94013f88a368ce7f3e00d62,https://open.spotify.com/album/1aN3LYbdOm7vBEZRXjt0MA,15
OKLOSER,okloser,Other most ground artist scientist should.,2024-04-01,00:02:49,1,https://i.scdn.co/image/ab67616d0000b27325f77c1f058fbce7c88591c6,https://open.spotify.com/album/6Dp4fwNoZD6Sum7PEheLrJ,15
Harry's House,harry's house,Sing skin lawyer nearly really difficult will.,2022-05-20,00:31:54,10,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,https://open.spotify.com/album/5r36AJ6VOJtp00oxSkBZ5h,16
Fine Line,fine line,Rather conference wonder ok institution as.,2019-12-13,00:37:07,10,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a,https://open.spotify.com/album/7xV2TzoaVc0ycW7fwBwAml,16
Harry Styles,harry styles,Until professional generation.,2017-05-12,00:40:23,10,https://i.scdn.co/image/ab67616d0000b2736c619c39c853f8b1d67b7859,https://open.spotify.com/album/1FZKIm3JVDCxTchXDo5jOV,16
Spotify Singles,spotify singles,Partner positive employee term meet.,2017-09-27,00:07:48,2,https://i.scdn.co/image/ab67616d0000b273828f29c88bf2b2ac07cfd3a7,https://open.spotify.com/album/7neiWgd56IO7vi2cRUP8Tj,16
An Evening With Silk Sonic,an evening with silk sonic,Enough future skill experience his.,2021-11-12,00:36:26,10,https://i.scdn.co/image/ab67616d0000b273d0bbd3ea2ec554f17a6603cc,https://open.spotify.com/album/4VZ7jhV0wHpoNPCB7Vmiml,17
24K Magic,24k magic,Project Mrs political quickly.,2016-11-17,00:33:32,9,https://i.scdn.co/image/ab67616d0000b273232711f7d66a1e19e89e28c5,https://open.spotify.com/album/4PgleR09JVnm3zY1fW3XBA,17
Unorthodox Jukebox,unorthodox jukebox,Lawyer young life large.,2012-12-07,00:34:56,10,https://i.scdn.co/image/ab67616d0000b273926f43e7cce571e62720fd46,https://open.spotify.com/album/58ufpQsJ1DS5kq4hhzQDiI,17
Doo-Wops & Hooligans,doo-wops & hooligans,Speak too cause fly management.,2010-05-11,00:35:26,10,https://i.scdn.co/image/ab67616d0000b273f60070dce96a2c1b70cf6ff0,https://open.spotify.com/album/6J84szYCnMfzEcvIcfWMFL,17
Leave The Door Open (Live),leave the door open (live),Clear message water say year.,2021-04-02,00:08:22,2,https://i.scdn.co/image/ab67616d0000b2730d18a58b311b58820ba4735f,https://open.spotify.com/album/4rRB9bAIwawVcrdLXuq9Qu,17
BLOW (with Chris Stapleton & Bruno Mars),blow (with chris stapleton & bruno mars),Green light kid bank. Report high back part.,2019-07-05,00:03:29,1,https://i.scdn.co/image/ab67616d0000b2733d75fe24ebd1741bb74603b9,https://open.spotify.com/album/4uoEruXjt0APvHaSqrwqPH,17
Please Me,please me,Try think our compare national this mean.,2019-02-15,00:03:20,1,https://i.scdn.co/image/ab67616d0000b273288883647008cefba0db5402,https://open.spotify.com/album/5a4sJJ3qjn6hqRsvm0Veso,17
Wake Up in the Sky,wake up in the sky,Onto government plan south cost couple help it.,2018-09-14,00:03:24,1,https://i.scdn.co/image/ab67616d0000b273b64fc7036d0fccef26f9f7e8,https://open.spotify.com/album/7mkyc2BUahNfo0orKzqNGB,17
Finesse (Remix) [feat. Cardi B],finesse (remix) [feat. cardi b],Memory ten physical bad.,2018-03-23,00:10:01,3,https://i.scdn.co/image/ab67616d0000b273ec9f67dfe2aa11fbbc304c17,https://open.spotify.com/album/5AVEtKtguEa8sqYhSj3zFW,17
Versace On The Floor (Bruno Mars vs. David Guetta),versace on the floor (bruno mars vs. david guetta),Where way western arm daughter though.,2017-06-27,00:03:48,1,https://i.scdn.co/image/ab67616d0000b27362dc1f2be95dc25beea9f857,https://open.spotify.com/album/0yDiMZdbFwO5lGB9Dq5wlL,17
Radical Optimism (Extended Versions),radical optimism (extended versions),There leader physical theory moment.,2024-06-28,00:51:12,10,https://i.scdn.co/image/ab67616d0000b2735f530395ba026f49363c6d11,https://open.spotify.com/album/0XY0qeZ7czMgtb340QJRxK,21
Radical Optimism,radical optimism,Require stuff truth prepare sing activity.,2024-05-03,00:32:29,10,https://i.scdn.co/image/ab67616d0000b273778c1e4660aa23f6728b32a1,https://open.spotify.com/album/1Mo92916G2mmG7ajpmSVrc,21
Future Nostalgia (The Moonlight Edition),future nostalgia (the moonlight edition),Detail finally now purpose head base food.,2021-02-11,00:34:37,10,https://i.scdn.co/image/ab67616d0000b2730533e671385ca40f4998d308,https://open.spotify.com/album/0E3wRkztEF32ZdYICXBuBf,21
Club Future Nostalgia (DJ Mix),club future nostalgia (dj mix),Role one spring pay onto past.,2020-08-28,00:27:36,10,https://i.scdn.co/image/ab67616d0000b27357fe88ee748288269959a018,https://open.spotify.com/album/3W04W2HfQ5kVeByxfjbu2C,21
Future Nostalgia,future nostalgia,Participant practice become.,2020-03-27,00:34:37,10,https://i.scdn.co/image/ab67616d0000b2732172b607853fa89cefa2beb4,https://open.spotify.com/album/5lKlFlReHOLShQKyRv6AL9,21
Dua Lipa (Complete Edition),dua lipa (complete edition),Home part agreement ball within.,2018-10-19,00:33:42,10,https://i.scdn.co/image/ab67616d0000b273ae395b47b186c2bc8c458e0f,https://open.spotify.com/album/0obMz8EHnr3dg6NCUK4xWp,21
Dua Lipa (Deluxe),dua lipa (deluxe),Goal tax personal discussion front artist really.,2017-06-02,00:33:42,10,https://i.scdn.co/image/ab67616d0000b273838698485511bd9108fadadc,https://open.spotify.com/album/01sfgrNbnnPUEyz6GZYlt9,21
Illusion (The Blaze Remix),illusion (the blaze remix),Someone new suggest morning.,2024-06-21,00:04:10,1,https://i.scdn.co/image/ab67616d0000b273bd2c2062d39f568699de6d50,https://open.spotify.com/album/1eQnfWI0gVyTFV1aT3DQwE,21
Illusion (London Sessions),illusion (london sessions),Meeting glass lawyer walk if protect imagine.,2024-05-17,00:03:12,1,https://i.scdn.co/image/ab67616d0000b27381530bff8b485f6ab1c00859,https://open.spotify.com/album/6ElKywQ0ya1bjEJAlMW5Z8,21
Invasion of Privacy,invasion of privacy,Black impact model sort game others debate stay.,2018-04-06,00:37:58,10,https://i.scdn.co/image/ab67616d0000b273a0caffda54afd0a65995bbab,https://open.spotify.com/album/4KdtEKjY3Gi0mKiSdy96ML,24
Gangsta Bitch Music Vol. 2,gangsta bitch music vol. 2,Push relate dog. Radio between because.,2017-01-20,00:28:31,10,https://i.scdn.co/image/ab67616d0000b27345848cd86960ebce702abaf1,https://open.spotify.com/album/47IM97GbpNyDREWlr2HtNM,24
Gangsta Bitch Music Vol 1,gangsta bitch music vol 1,Me girl community also real evidence.,2016-03-07,00:26:45,10,https://i.scdn.co/image/ab67616d0000b2737071dfe56c3c2a9acb31c793,https://open.spotify.com/album/4hRSrC7bRqBqDDSfhe5qRO,24
PUT EM IN THE FRIDGE,put em in the fridge,Each really figure evidence free sport.,2024-06-19,00:02:34,1,https://i.scdn.co/image/ab67616d0000b2731b43680ac056bde814db3ad0,https://open.spotify.com/album/3eZPoSq3mp4X22bvX9s3E4,24
Puntería,punteria,Person support close property.,2024-03-21,00:03:01,1,https://i.scdn.co/image/ab67616d0000b273d01e8247e282470a56499d7a,https://open.spotify.com/album/5TFRrSuyYMoRsVb4MA8dUp,24
Enough (Miami),enough (miami),Discussion population bit arm.,2024-03-20,00:25:49,10,https://i.scdn.co/image/ab67616d0000b273920f5824f0790cf35382eae0,https://open.spotify.com/album/3kp877JIzqzuUpExSGDXZC,24
Like What (Freestyle),like what (freestyle),Game player father reveal term.,2024-03-02,00:11:28,5,https://i.scdn.co/image/ab67616d0000b27332f33c201d1768549df39532,https://open.spotify.com/album/7Cxl8unntQLfSps6BYEGhI,24
Like What (Freestyle) [Instrumental],like what (freestyle) [instrumental],Mouth easy here stop act.,2024-02-28,00:02:16,1,https://i.scdn.co/image/ab67616d0000b273bf659bd61148f5a13b1de6da,https://open.spotify.com/album/4D7s8roJiQr8BvAmKnEpyl,24
"BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""","blackpink arena tour 2018 ""special final in kyocera dome osaka""",Cold meeting poor turn decide.,2019-03-13,00:38:05,10,https://i.scdn.co/image/ab67616d0000b2734eb5d1d2cb8e591441903c23,https://open.spotify.com/album/1dH4B2bWb5Ys7aszi9KWHA,26
BLACKPINK IN YOUR AREA (Japanese Version),blackpink in your area (japanese version),My radio safe fire throughout simply leg.,2018-12-05,00:32:14,9,https://i.scdn.co/image/ab67616d0000b2735e07cea6a3c231c7d45785cb,https://open.spotify.com/album/4cpZazoKuj3jD6x2GrSX2w,26
Music Of The Spheres,music of the spheres,Task check follow move president weight.,2021-10-15,00:27:47,10,https://i.scdn.co/image/ab67616d0000b273ec10f247b100da1ce0d80b6d,https://open.spotify.com/album/06mXfvDsRZNfnsGZvX2zpb,27
Everyday Life,everyday life,Later run or.,2019-11-22,00:33:13,10,https://i.scdn.co/image/ab67616d0000b273733913465adb99353020b805,https://open.spotify.com/album/2FeyIYDDAQqcOJKOKhvHdr,27
Live in Buenos Aires,live in buenos aires,Before wonder set.,2018-12-07,00:50:38,10,https://i.scdn.co/image/ab67616d0000b273fe5f1f4d742869a253036971,https://open.spotify.com/album/19CvkGjYpifkdwgVJSbog2,27
A Head Full of Dreams,a head full of dreams,Itself building friend difficult morning.,2015-12-04,00:39:05,10,https://i.scdn.co/image/ab67616d0000b2738ff7c3580d429c8212b9a3b6,https://open.spotify.com/album/3cfAM8b8KqJRoIzt3zLKqw,27
Ghost Stories Live 2014,ghost stories live 2014,Let easy push material main.,2014-11-21,00:40:46,9,https://i.scdn.co/image/ab67616d0000b273e17c11c195f80da123e17dde,https://open.spotify.com/album/1hNS0RsxPTFjmKXCgmjSLS,27
Ghost Stories,ghost stories,Base lose pretty together.,2014-05-19,00:40:18,9,https://i.scdn.co/image/ab67616d0000b273e5a95573f1b91234630fd2cf,https://open.spotify.com/album/2G4AUqfwxcV1UdQjm2ouYr,27
Live 2012,live 2012,Public finish enjoy.,2012-11-19,00:42:09,10,https://i.scdn.co/image/ab67616d0000b2730e49a9823be8f295caf1a574,https://open.spotify.com/album/2OkEsqGTfu8PWRrNHzfr0m,27
Mylo Xyloto,mylo xyloto,Born let crime design.,2011-10-24,00:32:44,10,https://i.scdn.co/image/ab67616d0000b273de0cd11d7b31c3bd1fd5983d,https://open.spotify.com/album/2R7iJz5uaHjLEVnMkloO18,27
LeftRightLeftRightLeft (Live),leftrightleftrightleft (live),Join however more every.,2009-05-15,00:39:54,9,https://i.scdn.co/image/ab67616d0000b2739ef50b3c2d29efe1172925c6,https://open.spotify.com/album/3pboBm7GTa6V5dFXXCt52b,27
Viva La Vida (Prospekt's March Edition),viva la vida (prospekt's march edition),Commercial most truth country beat hold.,2008-11-24,00:45:52,10,https://i.scdn.co/image/ab67616d0000b273121b47fdc79958a05e67fb17,https://open.spotify.com/album/71pRFAwHBLrjKYRG7V1Q2o,27
30,30,It left deal magazine.,2021-11-19,00:44:51,10,https://i.scdn.co/image/ab67616d0000b273c6b577e4c4a6d326354a89f7,https://open.spotify.com/album/21jF5jlMtzo94wbxmJ18aa,28
25,25,Police whether economy him certain.,2015-11-20,00:44:14,10,https://i.scdn.co/image/ab67616d0000b27347ce408fb4926d69da6713c2,https://open.spotify.com/album/3AvPX1B1HiFROvYjLb5Qwi,28
21,21,Election wait leave price.,2011-01-24,00:43:19,10,https://i.scdn.co/image/ab67616d0000b2732118bf9b198b05a95ded6300,https://open.spotify.com/album/0Lg1uZvI312TPqxNWShFXL,28
19,19,Machine media exist.,2008-01-28,00:34:48,10,https://i.scdn.co/image/ab67616d0000b273da737a3e194e3b9a46c1a6a3,https://open.spotify.com/album/59ULskOkBMij4zL8pS7mi0,28
Easy On Me,easy on me,The how east read.,2021-10-14,00:03:44,1,https://i.scdn.co/image/ab67616d0000b27350dba34377a595e35f81b0e4,https://open.spotify.com/album/224jZ4sUX7OhAuMwaxp86S,28
