title,title_normalized,genre,release_date,duration,cover_image,likes,times_played,album_id,link
Me Porto Bonito,me porto bonito,reggaeton,2022-05-06,02:58,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,649,71924,2,https://open.spotify.com/track/6Sq7ltF9Qa7SNFBsV5Cogx
Tití Me Preguntó,titi me pregunto,reggaeton,2022-05-06,04:03,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,728,10664,2,https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ
Un Ratito,un ratito,reggaeton,2022-05-06,02:56,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,251,70926,2,https://open.spotify.com/track/5CzixCxDkRXX9mScCmah8O
Yo No Soy Celoso,yo no soy celoso,reggaeton,2022-05-06,03:50,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,934,89875,2,https://open.spotify.com/track/5kVZxyMY1gfdCLiChsfjn1
Tarot,tarot,reggaeton,2022-05-06,03:57,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,494,85045,2,https://open.spotify.com/track/41oY4WCTj5kccfesTVFnvN
Neverita,neverita,reggaeton,2022-05-06,02:53,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,59,34117,2,https://open.spotify.com/track/31i56LZnwE6uSu3exoHjtB
La Corriente,la corriente,reggaeton,2022-05-06,03:18,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,393,66870,2,https://open.spotify.com/track/1797zYiX4cKosMH836X9Gt
Efecto,efecto,reggaeton,2022-05-06,03:33,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,694,86891,2,https://open.spotify.com/track/5Eax0qFko2dh7Rl2lYs3bx
EL MUNDO ES MÍO,el mundo es mio,reggaeton,2020-11-27,02:45,https://i.scdn.co/image/ab67616d0000b273005ee342f4eef2cc6e8436ab,980,38144,3,https://open.spotify.com/track/36DHxTW2xdr9GG15T9oK9L
TE MUDASTE,te mudaste,reggaeton,2020-11-27,02:10,https://i.scdn.co/image/ab67616d0000b273005ee342f4eef2cc6e8436ab,514,73672,3,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
HOY COBRÉ,hoy cobre,reggaeton,2020-11-27,02:42,https://i.scdn.co/image/ab67616d0000b273005ee342f4eef2cc6e8436ab,644,38534,3,https://open.spotify.com/track/0tjZv2hChdHZCW1zFXpy1J
MALDITA POBREZA,maldita pobreza,reggaeton,2020-11-27,03:33,https://i.scdn.co/image/ab67616d0000b273005ee342f4eef2cc6e8436ab,720,38361,3,https://open.spotify.com/track/0Lsis3LB0XAK6XlTHXaJk2
LA NOCHE DE ANOCHE,la noche de anoche,reggaeton,2020-11-27,03:23,https://i.scdn.co/image/ab67616d0000b273005ee342f4eef2cc6e8436ab,193,2954,3,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
TE DESEO LO MEJOR,te deseo lo mejor,reggaeton,2020-11-27,02:19,https://i.scdn.co/image/ab67616d0000b273005ee342f4eef2cc6e8436ab,650,41022,3,https://open.spotify.com/track/23XjN1s3DZC8Q9ZwuorYY4
YO VISTO ASÍ,yo visto asi,reggaeton,2020-11-27,03:11,https://i.scdn.co/image/ab67616d0000b273005ee342f4eef2cc6e8436ab,738,22324,3,https://open.spotify.com/track/5fROvzNghPid8mbKNDYvpJ
HACIENDO QUE ME AMAS,haciendo que me amas,reggaeton,2020-11-27,03:37,https://i.scdn.co/image/ab67616d0000b273005ee342f4eef2cc6e8436ab,388,71922,3,https://open.spotify.com/track/26QApq0cuO9brJigr0C0W4
BOOKER T,booker t,reggaeton,2020-11-27,02:36,https://i.scdn.co/image/ab67616d0000b273005ee342f4eef2cc6e8436ab,172,46390,3,https://open.spotify.com/track/26w9NTiE9NGjW1ZvIOd1So
LA DROGA,la droga,reggaeton,2020-11-27,02:42,https://i.scdn.co/image/ab67616d0000b273005ee342f4eef2cc6e8436ab,603,25874,3,https://open.spotify.com/track/67ACYA3UI6QMNtHX6b34wX
SI ELLA SALE,si ella sale,reggaeton,2020-05-10,02:23,https://i.scdn.co/image/ab67616d0000b273ae879683217d488c39600092,39,40451,4,https://open.spotify.com/track/1zaDh3qaGSeSmulNyWlUxm
MÁS DE UNA CITA,mas de una cita,reggaeton,2020-05-10,03:03,https://i.scdn.co/image/ab67616d0000b273ae879683217d488c39600092,957,43927,4,https://open.spotify.com/track/4EJHKSnHENfjOxXWryyNtL
BYE ME FUI,bye me fui,reggaeton,2020-05-10,02:58,https://i.scdn.co/image/ab67616d0000b273ae879683217d488c39600092,943,12454,4,https://open.spotify.com/track/0FktnzDqjClqU6iqOZVEs2
CANCIÓN CON YANDEL,cancion con yandel,reggaeton,2020-05-10,03:29,https://i.scdn.co/image/ab67616d0000b273ae879683217d488c39600092,283,79896,4,https://open.spotify.com/track/3pm4XtcsRIFFtH2UErk62R
PA' ROMPERLA,pa' romperla,reggaeton,2020-05-10,03:14,https://i.scdn.co/image/ab67616d0000b273ae879683217d488c39600092,949,4799,4,https://open.spotify.com/track/5XqCz18k96K8tx6DAYM97i
BAD CON NICKY,bad con nicky,reggaeton,2020-05-10,03:22,https://i.scdn.co/image/ab67616d0000b273ae879683217d488c39600092,288,22002,4,https://open.spotify.com/track/5bmSver2b3ZXyuyLKtgnFI
BENDICIONES,bendiciones,reggaeton,2020-05-10,02:35,https://i.scdn.co/image/ab67616d0000b273ae879683217d488c39600092,225,89158,4,https://open.spotify.com/track/2CoMYp2uIKsT09nreEZnZn
CÓMO SE SIENTE - Remix,como se siente - remix,reggaeton,2020-05-10,03:47,https://i.scdn.co/image/ab67616d0000b273ae879683217d488c39600092,900,77750,4,https://open.spotify.com/track/6KFjMJJq8UZpfUyDgeH0Yl
RONCA FREESTYLE,ronca freestyle,reggaeton,2020-05-10,02:30,https://i.scdn.co/image/ab67616d0000b273ae879683217d488c39600092,334,88042,4,https://open.spotify.com/track/3XZeOzJ9tqnu58YP6cqApI
EN CASITA,en casita,reggaeton,2020-05-10,02:56,https://i.scdn.co/image/ab67616d0000b273ae879683217d488c39600092,376,70199,4,https://open.spotify.com/track/2DhNdoHxavs7Qtf5MnhZD0
Si Veo a Tu Mamá,si veo a tu mama,reggaeton,2020-02-29,02:50,https://i.scdn.co/image/ab67616d0000b273548f7ec52da7313de0c5e4a0,844,14811,5,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
La Difícil,la dificil,reggaeton,2020-02-29,02:43,https://i.scdn.co/image/ab67616d0000b273548f7ec52da7313de0c5e4a0,863,99386,5,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
Pero Ya No,pero ya no,reggaeton,2020-02-29,02:40,https://i.scdn.co/image/ab67616d0000b273548f7ec52da7313de0c5e4a0,738,60410,5,https://open.spotify.com/track/75pQqzwgCjUOSSy5CpmAjy
La Santa,la santa,reggaeton,2020-02-29,03:26,https://i.scdn.co/image/ab67616d0000b273548f7ec52da7313de0c5e4a0,999,60039,5,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
Yo Perreo Sola,yo perreo sola,reggaeton,2020-02-29,02:52,https://i.scdn.co/image/ab67616d0000b273548f7ec52da7313de0c5e4a0,56,42841,5,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
Bichiyal,bichiyal,reggaeton,2020-02-29,03:16,https://i.scdn.co/image/ab67616d0000b273548f7ec52da7313de0c5e4a0,83,23585,5,https://open.spotify.com/track/4j4w4CXm6BSr0s25wAWrrX
Soliá,solia,reggaeton,2020-02-29,02:39,https://i.scdn.co/image/ab67616d0000b273548f7ec52da7313de0c5e4a0,833,55771,5,https://open.spotify.com/track/7sOfmPd18RWp3FoCzpa7Kw
La Zona,la zona,reggaeton,2020-02-29,02:16,https://i.scdn.co/image/ab67616d0000b273548f7ec52da7313de0c5e4a0,292,19944,5,https://open.spotify.com/track/5kqNIqFjijuzvVLhuY9B8j
Que Malo,que malo,reggaeton,2020-02-29,02:47,https://i.scdn.co/image/ab67616d0000b273548f7ec52da7313de0c5e4a0,596,37605,5,https://open.spotify.com/track/53v2u51nq3CxiKUNphRzP1
Vete,vete,reggaeton,2020-02-29,03:12,https://i.scdn.co/image/ab67616d0000b273548f7ec52da7313de0c5e4a0,438,90177,5,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
MOJAITA,mojaita,reggaeton,2019-06-28,03:07,https://i.scdn.co/image/ab67616d0000b2734891d9b25d8919448388f3bb,470,28846,6,https://open.spotify.com/track/71pEiUWwfDFiRO6RmFpnBf
YO LE LLEGO,yo le llego,reggaeton,2019-06-28,04:09,https://i.scdn.co/image/ab67616d0000b2734891d9b25d8919448388f3bb,432,77759,6,https://open.spotify.com/track/0uIfrUwwg0Z7KTitul7E3T
CUIDAO POR AHÍ,cuidao por ahi,reggaeton,2019-06-28,03:18,https://i.scdn.co/image/ab67616d0000b2734891d9b25d8919448388f3bb,697,66914,6,https://open.spotify.com/track/6SYSu569pfYdkDT9A5lZqi
QUE PRETENDES,que pretendes,reggaeton,2019-06-28,03:42,https://i.scdn.co/image/ab67616d0000b2734891d9b25d8919448388f3bb,226,18236,6,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
LA CANCIÓN,la cancion,reggaeton,2019-06-28,04:02,https://i.scdn.co/image/ab67616d0000b2734891d9b25d8919448388f3bb,679,7525,6,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
UN PESO,un peso,reggaeton,2019-06-28,04:37,https://i.scdn.co/image/ab67616d0000b2734891d9b25d8919448388f3bb,100,4817,6,https://open.spotify.com/track/7hynhxDoDpgMIV12JuVtNa
ODIO,odio,reggaeton,2019-06-28,04:30,https://i.scdn.co/image/ab67616d0000b2734891d9b25d8919448388f3bb,431,85434,6,https://open.spotify.com/track/7alOsNr36sJ8CyOEP4aILq
COMO UN BEBÉ,como un bebe,reggaeton,2019-06-28,03:38,https://i.scdn.co/image/ab67616d0000b2734891d9b25d8919448388f3bb,616,83204,6,https://open.spotify.com/track/7knLcYCOSaURD0d7HUULFM
NI BIEN NI MAL,ni bien ni mal,reggaeton,2018-12-23,03:56,https://i.scdn.co/image/ab67616d0000b273519266cd05491a5b5bc22d1e,217,94595,7,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8
200 Mph,200 mph,reggaeton,2018-12-23,02:50,https://i.scdn.co/image/ab67616d0000b273519266cd05491a5b5bc22d1e,221,36839,7,https://open.spotify.com/track/5jGUJXnELDaDTgiRjD9lsg
¿Quien Tu Eres?,quien tu eres?,reggaeton,2018-12-23,02:39,https://i.scdn.co/image/ab67616d0000b273519266cd05491a5b5bc22d1e,396,60161,7,https://open.spotify.com/track/6kN06eEOblRAuWI0xUUS91
Caro,caro,reggaeton,2018-12-23,03:49,https://i.scdn.co/image/ab67616d0000b273519266cd05491a5b5bc22d1e,937,7474,7,https://open.spotify.com/track/6it15CsDlkqB7N4lF0C1qM
Tenemos Que Hablar,tenemos que hablar,reggaeton,2018-12-23,03:44,https://i.scdn.co/image/ab67616d0000b273519266cd05491a5b5bc22d1e,164,11489,7,https://open.spotify.com/track/5VQpJ2AY2iMzrRZKgcvNjh
Otra Noche en Miami,otra noche en miami,reggaeton,2018-12-23,03:53,https://i.scdn.co/image/ab67616d0000b273519266cd05491a5b5bc22d1e,453,59102,7,https://open.spotify.com/track/4vCAzANUWDE24URV6wQ4ra
Ser Bichote,ser bichote,reggaeton,2018-12-23,03:13,https://i.scdn.co/image/ab67616d0000b273519266cd05491a5b5bc22d1e,349,8815,7,https://open.spotify.com/track/4UEuIEv9Wc3wtiWUplGJ7q
Si Estuviésemos Juntos,si estuviesemos juntos,reggaeton,2018-12-23,02:49,https://i.scdn.co/image/ab67616d0000b273519266cd05491a5b5bc22d1e,916,77140,7,https://open.spotify.com/track/35wvL50xvKpCHEJPxLOLPI
Solo de Mi,solo de mi,reggaeton,2018-12-23,03:17,https://i.scdn.co/image/ab67616d0000b273519266cd05491a5b5bc22d1e,929,15408,7,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR
Cuando Perriabas,cuando perriabas,reggaeton,2018-12-23,03:08,https://i.scdn.co/image/ab67616d0000b273519266cd05491a5b5bc22d1e,205,35029,7,https://open.spotify.com/track/5mj8WVFcKdGA8p9HWGTSLc
ADIVINO,adivino,reggaeton,2024-04-25,04:38,https://i.scdn.co/image/ab67616d0000b273b41f34aa51be675c5cfd3d94,643,89180,8,https://open.spotify.com/track/0LZy30mVmxqUpdQmaXKXBd
UN PREVIEW,un preview,reggaeton,2023-09-25,02:45,https://i.scdn.co/image/ab67616d0000b273c1156c6f6dedd4b9bdf89428,741,1721,9,https://open.spotify.com/track/63ui2w3QJBp8xx0c1MJB2Z
K-POP,k-pop,reggaeton,2023-07-21,03:05,https://i.scdn.co/image/ab67616d0000b273893489768de0c42b4d217b82,442,98577,10,https://open.spotify.com/track/5L3ecxQnQ9qTBmnLQiwf0C
MEDIA LUNA,media luna,trap latino,2023-08-28,02:14,https://i.scdn.co/image/ab67616d0000b2734cc96ed1e38fa517608c2fb0,236,76889,11,https://open.spotify.com/track/7h3mCPlHYCPuSG93s7M3Xt
PASAJERO,pasajero,trap latino,2023-08-28,02:29,https://i.scdn.co/image/ab67616d0000b2734cc96ed1e38fa517608c2fb0,692,4415,11,https://open.spotify.com/track/1uFAI2C6r3YBQmXCAPGzZv
PÓLVORA,polvora,trap latino,2023-08-28,03:05,https://i.scdn.co/image/ab67616d0000b2734cc96ed1e38fa517608c2fb0,246,81099,11,https://open.spotify.com/track/3pQr8EhSzvKN3ZZlaL4Pae
DONDE SE APRENDE A QUERER?,donde se aprende a querer?,trap latino,2023-08-28,02:24,https://i.scdn.co/image/ab67616d0000b2734cc96ed1e38fa517608c2fb0,740,16491,11,https://open.spotify.com/track/0sfk352FO8bJUjWjIsyzSR
REINA,reina,trap latino,2023-08-28,03:31,https://i.scdn.co/image/ab67616d0000b2734cc96ed1e38fa517608c2fb0,756,26699,11,https://open.spotify.com/track/0QRHOAeU8JRaVVn3UoZBih
FANTASÍAS,fantasias,trap latino,2023-08-28,03:11,https://i.scdn.co/image/ab67616d0000b2734cc96ed1e38fa517608c2fb0,510,33435,11,https://open.spotify.com/track/2v1EKQQn4UYC6qB13Vphaf
EL CHACAL,el chacal,trap latino,2023-08-28,03:17,https://i.scdn.co/image/ab67616d0000b2734cc96ed1e38fa517608c2fb0,249,14583,11,https://open.spotify.com/track/4CQW7jSDYk3kRfv7708NGF
LAGUNA,laguna,trap latino,2023-08-28,04:06,https://i.scdn.co/image/ab67616d0000b2734cc96ed1e38fa517608c2fb0,763,73804,11,https://open.spotify.com/track/0JLKzgJT62z3jNWsDt6znJ
LOKITA,lokita,trap latino,2023-08-28,02:34,https://i.scdn.co/image/ab67616d0000b2734cc96ed1e38fa517608c2fb0,848,1316,11,https://open.spotify.com/track/5Bn7ZZ5EEwUKKN8WV6HmXZ
PIDE,pide,trap latino,2023-08-28,03:27,https://i.scdn.co/image/ab67616d0000b2734cc96ed1e38fa517608c2fb0,326,42089,11,https://open.spotify.com/track/2tAwNLAIBtgXdzQOtVq6mL
BIENVENIDA AL PARAÍSO,bienvenida al paraiso,trap latino,2022-11-03,01:43,https://i.scdn.co/image/ab67616d0000b273076ef0fed51ff7a4911459e9,661,10711,12,https://open.spotify.com/track/6v3fbkLKRH6jsa6dho9ocx
DOMINGO DE BOTE,domingo de bote,trap latino,2022-11-03,03:10,https://i.scdn.co/image/ab67616d0000b273076ef0fed51ff7a4911459e9,508,27469,12,https://open.spotify.com/track/0rvbMTIWwMZaMC9UnubDPb
APA,apa,trap latino,2022-11-03,03:19,https://i.scdn.co/image/ab67616d0000b273076ef0fed51ff7a4911459e9,732,35262,12,https://open.spotify.com/track/3vKYvbzB7801a5qd47pxkm
CALENTÓN,calenton,trap latino,2022-11-03,03:22,https://i.scdn.co/image/ab67616d0000b273076ef0fed51ff7a4911459e9,261,70279,12,https://open.spotify.com/track/3l9YiADzNmEvBfZVPEF49F
COSITAS,cositas,trap latino,2022-11-03,03:15,https://i.scdn.co/image/ab67616d0000b273076ef0fed51ff7a4911459e9,403,40381,12,https://open.spotify.com/track/6eP29HuqLSONvO7xTb5dSH
EN LA ORILLA,en la orilla,trap latino,2022-11-03,03:55,https://i.scdn.co/image/ab67616d0000b273076ef0fed51ff7a4911459e9,584,21943,12,https://open.spotify.com/track/3WdR6kP1JJm2kDLaL6nAyH
MODELITO,modelito,trap latino,2022-11-03,03:10,https://i.scdn.co/image/ab67616d0000b273076ef0fed51ff7a4911459e9,1,67153,12,https://open.spotify.com/track/559YUIWxUc8Mx4lsla13Ff
CASUALIDAD,casualidad,trap latino,2022-11-03,03:03,https://i.scdn.co/image/ab67616d0000b273076ef0fed51ff7a4911459e9,914,35945,12,https://open.spotify.com/track/3yIyUQXF050PehHtbkgaDu
AIRBNB,airbnb,trap latino,2022-11-03,03:05,https://i.scdn.co/image/ab67616d0000b273076ef0fed51ff7a4911459e9,316,97625,12,https://open.spotify.com/track/0fuyLaeHh0TvQ65m5ojgP2
TU SABES DONDE VIVO,tu sabes donde vivo,trap latino,2022-11-03,02:50,https://i.scdn.co/image/ab67616d0000b273076ef0fed51ff7a4911459e9,28,26106,12,https://open.spotify.com/track/5RgSwK9Y13567fta5goKTz
badtrip :(,badtrip :(,trap latino,2022-04-01,03:11,https://i.scdn.co/image/ab67616d0000b273851222dc5c5681bd4c3119d3,936,78073,13,https://open.spotify.com/track/3t2ANh6j5JnTCDkVRBsukB
2010,2010,trap latino,2022-04-01,02:51,https://i.scdn.co/image/ab67616d0000b273851222dc5c5681bd4c3119d3,408,13674,13,https://open.spotify.com/track/6XHBJ1LSOcVINYXAAd6KIH
MEMORIAS,memorias,trap latino,2022-04-01,03:48,https://i.scdn.co/image/ab67616d0000b273851222dc5c5681bd4c3119d3,314,19606,13,https://open.spotify.com/track/2hLXUbsOU9cDb9RFva9FYr
ROBERT DE NIRO,robert de niro,trap latino,2022-04-01,02:54,https://i.scdn.co/image/ab67616d0000b273851222dc5c5681bd4c3119d3,889,26105,13,https://open.spotify.com/track/3cR23eAZcjukbKtb9knlL4
PECADO,pecado,trap latino,2022-04-01,02:51,https://i.scdn.co/image/ab67616d0000b273851222dc5c5681bd4c3119d3,55,36554,13,https://open.spotify.com/track/4tw2afU1W4m0hgaL7XySKO
LINDOR,lindor,trap latino,2022-04-01,02:24,https://i.scdn.co/image/ab67616d0000b273851222dc5c5681bd4c3119d3,475,72898,13,https://open.spotify.com/track/3mEoWn2r5tobVKgV0UP4Ck
TUS LÁGRIMAS,tus lagrimas,trap latino,2022-04-01,02:54,https://i.scdn.co/image/ab67616d0000b273851222dc5c5681bd4c3119d3,825,30452,13,https://open.spotify.com/track/30W8VKHrAZmHzObnwAoc1u
ESCALOFRÍOS,escalofrios,trap latino,2022-04-01,02:18,https://i.scdn.co/image/ab67616d0000b273851222dc5c5681bd4c3119d3,291,16238,13,https://open.spotify.com/track/5CVMsPYtSJ3l7UxYiI2lt7
PLAYA PRIVADA,playa privada,trap latino,2022-04-01,02:37,https://i.scdn.co/image/ab67616d0000b273851222dc5c5681bd4c3119d3,192,49223,13,https://open.spotify.com/track/2OF2V1JvNjOCOjhnIdfh3L
LEJOS DE TI,lejos de ti,trap latino,2022-04-01,02:08,https://i.scdn.co/image/ab67616d0000b273851222dc5c5681bd4c3119d3,316,77885,13,https://open.spotify.com/track/6s9NA1yozoB5fHprO2wVs2
Primer Dia de Clases,primer dia de clases,trap latino,2021-02-05,02:26,https://i.scdn.co/image/ab67616d0000b273dcec31b44548687b2a81d0c2,193,48270,14,https://open.spotify.com/track/27gItFPvVMtaKsVyt0wHzf
La Receta,la receta,trap latino,2021-02-05,03:52,https://i.scdn.co/image/ab67616d0000b273dcec31b44548687b2a81d0c2,935,90881,14,https://open.spotify.com/track/4IeZs6zIvTQjg43G9raOhu
Tuyo,tuyo,trap latino,2021-02-05,04:29,https://i.scdn.co/image/ab67616d0000b273dcec31b44548687b2a81d0c2,186,38480,14,https://open.spotify.com/track/4tQofG51E0juZBBVr6pral
Cuando Sera,cuando sera,trap latino,2021-02-05,02:56,https://i.scdn.co/image/ab67616d0000b273dcec31b44548687b2a81d0c2,781,48955,14,https://open.spotify.com/track/1UmZpd5navRsg2ukqCKJjc
Volando,volando,trap latino,2021-02-05,03:08,https://i.scdn.co/image/ab67616d0000b273dcec31b44548687b2a81d0c2,298,79611,14,https://open.spotify.com/track/4M6xyu1AHnaWAN8lHMNeo0
512,512,trap latino,2021-02-05,03:13,https://i.scdn.co/image/ab67616d0000b273dcec31b44548687b2a81d0c2,228,97017,14,https://open.spotify.com/track/5jzEwSyyymBlf1fa1o39T2
La Carita,la carita,trap latino,2021-02-05,03:12,https://i.scdn.co/image/ab67616d0000b273dcec31b44548687b2a81d0c2,683,96676,14,https://open.spotify.com/track/7vzrfgC7IGsOaJKaF5JHOA
Que Tu Dice?,que tu dice?,trap latino,2021-02-05,03:42,https://i.scdn.co/image/ab67616d0000b273dcec31b44548687b2a81d0c2,298,94948,14,https://open.spotify.com/track/4FOJInWniTRUHBz9brFQBD
Te Conoci Perriando,te conoci perriando,trap latino,2021-02-05,03:10,https://i.scdn.co/image/ab67616d0000b273dcec31b44548687b2a81d0c2,570,43394,14,https://open.spotify.com/track/68UxtmtQa5wiUa0sbpPvgd
Afuego,afuego,trap latino,2021-02-05,03:12,https://i.scdn.co/image/ab67616d0000b273dcec31b44548687b2a81d0c2,717,15826,14,https://open.spotify.com/track/4IQlwF6oXJxa6eqAXkYudm
A MI NOMBRE,a mi nombre,trap latino,2024-05-16,03:28,https://i.scdn.co/image/ab67616d0000b2731f73a24baf65cf94b839d8b6,665,97479,15,https://open.spotify.com/track/3o7GSwDLEbm47pkOMRdrIu
NÚMERO TELEFÓNICO,numero telefonico,trap latino,2024-04-25,03:10,https://i.scdn.co/image/ab67616d0000b273944e0ba27ff8f1cf2b10bf9f,298,66785,16,https://open.spotify.com/track/1zaLNK79Lrkjp9Bo6hbEiL
Textos Fríos,textos frios,trap latino,2024-04-24,04:18,https://i.scdn.co/image/ab67616d0000b2732e9b97a01717b0db3b04c31a,664,27447,17,https://open.spotify.com/track/0IYuq2NLUyTyt1jSYP29Af
Bien Loco,bien loco,trap latino,2024-04-18,03:32,https://i.scdn.co/image/ab67616d0000b2739913ad8c09b67e9a302c41eb,691,15923,18,https://open.spotify.com/track/0Ps4UneYQVkuPb9zXkqFVI
Cafe Malibú,cafe malibu,trap latino,2023-07-20,04:20,https://i.scdn.co/image/ab67616d0000b27384e7e85c7ac6d990dcab5802,28,68919,19,https://open.spotify.com/track/5uxIvoAHL2QOnRP2olOxzb
Donde CRJ - Remix,donde crj - remix,trap latino,2023-05-19,04:16,https://i.scdn.co/image/ab67616d0000b273ea9388356f2b2a853b71665a,345,7932,20,https://open.spotify.com/track/63RgY9Eph41dal0MYH4d6V
I GOT YOU (Feat. Lauv),i got you (feat. lauv),k-pop,2024-02-06,03:04,https://i.scdn.co/image/ab67616d0000b273d112b7516a0a23058a819764,186,22167,21,https://open.spotify.com/track/3X8L4DUPjLUE1cr8omydPT
I GOT YOU (Original),i got you (original),k-pop,2024-02-06,02:53,https://i.scdn.co/image/ab67616d0000b273d112b7516a0a23058a819764,641,46061,21,https://open.spotify.com/track/4RXsi1oTj3uaqoRC9UrwGA
I GOT YOU (Lo-fi ver.),i got you (lo-fi ver.),k-pop,2024-02-06,03:10,https://i.scdn.co/image/ab67616d0000b273d112b7516a0a23058a819764,790,61884,21,https://open.spotify.com/track/0AggaBs9dbMzNDessp74H5
I GOT YOU (Hyper ver.),i got you (hyper ver.),k-pop,2024-02-06,02:39,https://i.scdn.co/image/ab67616d0000b273d112b7516a0a23058a819764,43,49990,21,https://open.spotify.com/track/3xOyvOWPMDQfh2aWrDkBMX
I GOT YOU (Garage ver.),i got you (garage ver.),k-pop,2024-02-06,03:10,https://i.scdn.co/image/ab67616d0000b273d112b7516a0a23058a819764,557,49879,21,https://open.spotify.com/track/7aqRPDAmWnjl1dQf8pNgG8
I GOT YOU (Sped Up ver.),i got you (sped up ver.),k-pop,2024-02-06,02:36,https://i.scdn.co/image/ab67616d0000b273d112b7516a0a23058a819764,138,79358,21,https://open.spotify.com/track/4MonjrlUme4bzptofA3qGB
I GOT YOU (Feat. Lauv) (Instrumental),i got you (feat. lauv) (instrumental),k-pop,2024-02-06,03:04,https://i.scdn.co/image/ab67616d0000b273d112b7516a0a23058a819764,447,16660,21,https://open.spotify.com/track/4KTkxtGC9UKdutPrvLLSJS
I GOT YOU (Original) (Instrumental),i got you (original) (instrumental),k-pop,2024-02-06,02:53,https://i.scdn.co/image/ab67616d0000b273d112b7516a0a23058a819764,120,30162,21,https://open.spotify.com/track/39nU2n25jRpJCYa6IGRn2P
